31102105    Literary 	68.9
35151346	Scientific	68.3
35151347	Scientific	92.7
35151348	Scientific	92.6
35151349	Scientific	65.3
35151350	Scientific	80.9
35151352	Scientific	96.7
35151353	Scientific	87.6
35151354	Scientific	77.3
35151355	Scientific	86.3
35151356	Scientific	80.9
35151357	Scientific	99.4
35151358	Scientific	78
35151359	Scientific	94
35151360	Scientific	97.3
35151361	Scientific	82.6
35151362	Scientific	91.1
35151363	Scientific	67.7
35151364	Scientific	66
35151366	Scientific	85.3
35151367	Scientific	86.6
35151368	Scientific	96.6
35151370	Scientific	75.6
35151371	Scientific	86.1
35151372	Scientific	86
35151373	Scientific	95.4
35151374	Scientific	98.3
35151375	Scientific	96.4
35151376	Scientific	76.4
35151377	Scientific	83.3
35151378	Scientific	80.6
35151379	Scientific	66.3
35151380	Scientific	76.6
35151381	Scientific	70
35151382	Scientific	93.4
35151383	Scientific	84.4
35151384	Scientific	69.9
35151385	Scientific	92
35151387	Scientific	81.1
35151388	Scientific	93.7
35151389	Scientific	94.4
35151390	Scientific	90.1
35151392	Scientific	97.9
35151393	Scientific	80.6
35151394	Scientific	72.1
35151395	Scientific	83.4
35151396	Scientific	85.3
35151397	Scientific	68.7
35151398	Scientific	89.7
35151399	Scientific	98.4
35151400	Scientific	99
35151401	Scientific	71.1
35151402	Scientific	97.1
35151403	Scientific	95.9
35151404	Scientific	68.1
35151405	Scientific	96.6
35151406	Scientific	68.1
35151407	Scientific	88.9
35151408	Scientific	89
35151409	Scientific	77.3
35151410	Scientific	63.9
35151412	Scientific	97.4
35151414	Scientific	86.9
35151415	Scientific	90.7
35151416	Scientific	79.1
35151417	Scientific	82.9
35151418	Scientific	64.7
35151420	Scientific	93.1
35151421	Scientific	90.4
35151422	Scientific	92.6
35151423	Scientific	96.7
35151426	Scientific	81.3
35151427	Scientific	69.4
35151428	Scientific	97
35151429	Scientific	78.1
35151430	Scientific	81
35151431	Scientific	86.7
35151432	Scientific	98.9
35151433	Scientific	94.1
35151434	Scientific	98.9
35151435	Scientific	81.1
35151436	Scientific	85.4
35151437	Scientific	89
35151438	Scientific	96.3
35151439	Scientific	79.7
35151442	Scientific	89.4
35151443	Scientific	96.9
35151444	Scientific	93.6
35151445	Scientific	97.6
35151446	Scientific	89.3
35151447	Scientific	79.3
35151448	Scientific	88.4
35151449	Scientific	71.3
35151450	Scientific	84.4
35151451	Scientific	70.3
35151452	Scientific	72.1
35151453	Scientific	65.3
35151454	Scientific	96.3
35151455	Scientific	77.9
35151456	Scientific	84.1
35151457	Scientific	99.1
35151458	Scientific	91.9
35151459	Scientific	76.6
35151460	Scientific	76.9
35151461	Scientific	84
35151462	Scientific	73.6
35151463	Scientific	98.3
35151464	Scientific	96.7
35151465	Scientific	79.3
35151466	Scientific	85
35151467	Scientific	82.9
35151468	Scientific	84.6
35151469	Scientific	97.3
35151470	Scientific	87.3
35151471	Scientific	80.4
35151472	Scientific	91.3
35151473	Scientific	89.6
35151474	Scientific	74.3
35151475	Scientific	87.7
35151476	Scientific	91.4
35151477	Scientific	98.1
35151478	Scientific	80.7
35151479	Scientific	95.7
35151480	Scientific	68
35151481	Scientific	98.7
35151482	Scientific	87.6
35151483	Scientific	97.4
35151484	Scientific	65.3
35151485	Scientific	97.4
35151486	Scientific	92
35151487	Scientific	81.7
35151488	Scientific	98
35151489	Scientific	99.1
35151490	Scientific	88.6
35151491	Scientific	97.7
35151492	Scientific	91.1
35151493	Scientific	95.3
35151494	Scientific	92.6
35151495	Scientific	87
35151496	Scientific	92.1
35151497	Scientific	89.7
35151499	Scientific	90.1
35151500	Scientific	62.7
35151501	Scientific	98.4
35151502	Scientific	95
35151503	Scientific	88.9
35151504	Scientific	85.3
35151505	Scientific	89
35151506	Scientific	72
35151507	Scientific	92.1
35151508	Scientific	89
35151509	Scientific	83.9
35151510	Scientific	98.3
35151511	Scientific	92.1
35151512	Scientific	85.9
35151513	Scientific	82.9
35151514	Scientific	88.6
35151515	Scientific	99
35151516	Scientific	85.3
35151517	Scientific	93.3
35151518	Scientific	93.4
35151519	Scientific	82.7
35151520	Scientific	74.1
35151521	Scientific	98.4
35151522	Scientific	81
35151523	Scientific	80.4
35151524	Scientific	72
35151525	Scientific	94.3
35151526	Scientific	98.3
35151527	Scientific	81.4
35151528	Scientific	96.4
35151529	Scientific	93.1
35151530	Scientific	85.4
35151531	Scientific	98.9
35151532	Scientific	92.7
35151534	Scientific	99
35151536	Scientific	97
35151537	Scientific	98.1
35151538	Scientific	91.1
35151539	Scientific	97.3
35151540	Scientific	96.4
35151542	Scientific	81
35151543	Scientific	98
35151544	Scientific	80.6
35151545	Scientific	93.4
35151546	Scientific	75.1
35151547	Scientific	90.6
35151548	Scientific	92.1
35151549	Scientific	79.3
35151550	Scientific	78.7
35151551	Scientific	78
35151552	Scientific	85.1
35151554	Scientific	88.4
35151555	Scientific	95.3
35151556	Scientific	90.7
35151557	Scientific	98.7
35151558	Scientific	68.4
35151559	Scientific	95.3
35151560	Scientific	90.3
35151561	Scientific	93
35151562	Scientific	91.3
35151563	Scientific	82.3
35151564	Scientific	95.7
35151565	Scientific	86.1
35151566	Scientific	96
35151567	Scientific	92
35151568	Scientific	98.9
35151571	Scientific	87.6
35151572	Scientific	87.6
35151573	Scientific	87
35151574	Scientific	91
35151575	Scientific	66.1
35151576	Scientific	95.7
35151577	Scientific	96.7
35151578	Scientific	96.9
35151579	Scientific	83.7
35151580	Scientific	99.3
35151581	Scientific	95.1
35151582	Scientific	79.1
35151583	Scientific	98.9
35151584	Scientific	97.3
35151585	Scientific	89.6
35151586	Scientific	87.3
35151587	Scientific	84.1
35151588	Scientific	96.3
35151589	Scientific	89.7
35151590	Scientific	89.7
35151591	Scientific	97.6
35151592	Scientific	88
35151593	Scientific	70.6
35151594	Scientific	81.7
35151595	Scientific	91.6
35151596	Scientific	91.9
35151597	Scientific	92
35151598	Scientific	96
35151599	Scientific	76
35151600	Scientific	81.9
35151601	Scientific	95.3
35151602	Scientific	72.1
35151603	Scientific	97.3
35151604	Scientific	66.6
35151605	Scientific	78.6
35151606	Scientific	98.9
35151607	Scientific	95.3
35151608	Scientific	92
35151609	Scientific	81.4
35151610	Scientific	73.3
35151611	Scientific	97.7
35151612	Scientific	89
35151613	Scientific	69.9
35151614	Scientific	86.9
35151616	Scientific	97.1
35151617	Scientific	77
35151618	Scientific	81.1
35151619	Scientific	99
35151620	Scientific	77.3
35151621	Scientific	80.6
35151622	Scientific	71.6
35151623	Scientific	91
35151624	Scientific	91.4
35151625	Scientific	85.9
35151626	Scientific	97.4
35151627	Scientific	80.1
35151628	Scientific	93.9
35151629	Scientific	83
35151630	Scientific	76.7
35151631	Scientific	82.9
35151632	Scientific	80.9
35151633	Scientific	95.7
35151634	Scientific	84.6
35151635	Scientific	93.7
35151636	Scientific	59.3
35151638	Scientific	82.9
35151639	Scientific	84.6
35151640	Scientific	79.9
35151641	Scientific	80.3
35151642	Scientific	81
35151644	Scientific	82
35151645	Scientific	65
35151646	Scientific	81.3
35151647	Scientific	93.3
35151648	Scientific	66.9
35151649	Scientific	92.6
35151650	Scientific	75.9
35151651	Scientific	80
35151652	Scientific	85.1
35151653	Scientific	87.6
35151654	Scientific	78.9
35151655	Scientific	75.4
35151656	Scientific	91.4
35151657	Scientific	67.9
35151658	Scientific	82
35151659	Scientific	75.4
35151660	Scientific	73.3
35151661	Scientific	75.3
35151662	Scientific	79.4
35151663	Scientific	86.7
35151664	Scientific	93.7
35151665	Scientific	94.6
35151666	Scientific	73.4
35151667	Scientific	92.4
35151669	Scientific	87.4
35151670	Scientific	88.7
35151672	Scientific	72.6
35151673	Scientific	89.1
35151674	Scientific	89
35151675	Scientific	98.1
35151676	Scientific	73.7
35151678	Scientific	81.4
35151679	Scientific	87.1
35151680	Scientific	94
35151681	Scientific	78.7
35151682	Scientific	74.1
35151683	Scientific	88.4
35151684	Scientific	92.4
35151685	Scientific	98.3
35151686	Scientific	63.9
35151687	Scientific	91.7
35151689	Scientific	88.9
35151690	Scientific	74.1
35151691	Scientific	79.1
35151692	Scientific	70.1
35151693	Scientific	90.1
35151694	Scientific	57.9
35151695	Scientific	90.3
35151696	Scientific	96.3
35151699	Scientific	88.9
35151700	Scientific	72.4
35151701	Scientific	77.4
35151702	Scientific	73.7
35151703	Scientific	88.9
35151704	Scientific	76.7
35151705	Scientific	73.7
35151706	Scientific	74.4
35151707	Scientific	92.6
35151708	Scientific	65.6
35151709	Scientific	93.6
35151711	Scientific	96.7
35151713	Scientific	96.7
35151715	Scientific	89.4
35151716	Scientific	82.4
35151717	Scientific	70.4
35151718	Scientific	86.9
35151719	Scientific	96.9
35151720	Scientific	77.9
35151721	Scientific	70
35151722	Scientific	71.6
35151723	Scientific	88
35151724	Scientific	86.7
35151726	Scientific	86
35151801	Scientific	77.1
35151806	Scientific	96.4
35151807	Scientific	83.1
36114101	Literary 	90.9
36114102	Literary 	64.1
36114103	Literary 	79.4
36114105	Literary 	72.7
36114106	Literary 	65.3
36114108	Literary 	74.1
36114109	Literary 	68.7
36114111	Literary 	77.1
36114113	Literary 	67.6
36114114	Literary 	77
36114118	Literary 	68.9
36114127	Literary 	74.1
36114132	Literary 	80.1
36114134	Literary 	55.1
36114144	Literary 	64.6
36114151	Literary 	62
36114152	Literary 	73.7
36114154	Literary 	63.4
36114161	Literary 	58.9
36114165	Literary 	90
36114171	Literary 	71.7
36114172	Literary 	74
36114174	Literary 	67
36114184	Literary 	64.7
36114185	Literary 	69.4
36114186	Literary 	66
36114187	Literary 	77
36114193	Literary 	85.6
36114194	Literary 	58
36114195	Literary 	68.3
36114198	Literary 	71.3
36114202	Literary 	64.1
36114203	Literary 	64.7
36114206	Literary 	64.4
36114207	Literary 	60.3
36114209	Literary 	74.7
36114212	Literary 	74.7
36114215	Literary 	61.1
36114216	Literary 	60.6
36114223	Literary 	76.1
36114226	Literary 	64.3
36114230	Literary 	82.1
36114234	Literary 	67.4
36114237	Literary 	59.4
36114239	Literary 	65.3
36114240	Literary 	58.1
36114242	Literary 	67
36114244	Literary 	69.1
36114246	Literary 	65.6
36114249	Literary 	52.1
36114250	Literary 	84.9
36114252	Literary 	56.1
36114254	Literary 	82.3
36114255	Literary 	63.4
36114259	Literary 	54.4
36114262	Literary 	56.1
36114263	Literary 	69.6
36114264	Literary 	55.3
36114266	Literary 	63.4
36114267	Literary 	73.6
36114269	Literary 	71.3
36114270	Literary 	67.6
36114271	Literary 	59.1
36114273	Literary 	64.7
36114275	Literary 	91.4
36114283	Literary 	66.4
36114288	Literary 	65.7
36114293	Literary 	82.3
36114297	Literary 	66.4
36114298	Literary 	64.4
36114300	Literary 	68.4
36114301	Literary 	53.2
36114304	Literary 	65.4
36114306	Literary 	74.3
36114310	Literary 	62.7
36114313	Literary 	77.3
36114315	Literary 	66.4
36114316	Literary 	77.1
36114318	Literary 	65.4
36114319	Literary 	56.9
36114320	Literary 	64.4
36114324	Literary 	74.1
36114325	Literary 	69.1
36114329	Literary 	75.1
36114336	Literary 	70.4
36114342	Literary 	60.4
36114345	Literary 	69.9
36114346	Literary 	64.1
36114347	Literary 	59.3
36114350	Literary 	68
36114351	Literary 	60.6
36114352	Literary 	61.1
36114354	Literary 	66.6
36114356	Literary 	71.9
36114358	Literary 	58.9
36114365	Literary 	82.9
36114367	Literary 	63
36114368	Literary 	64.3
36114371	Literary 	66.6
36114372	Literary 	68.4
36114374	Literary 	72.9
36114375	Literary 	81.4
36114377	Literary 	58.4
36114385	Literary 	64.7
36114387	Literary 	58
36114394	Literary 	82
36114396	Literary 	62.9
36114404	Literary 	52.6
36114405	Literary 	66.1
36114406	Literary 	61.4
36114407	Literary 	77.3
36114415	Literary 	79.3
36114416	Literary 	52
36114417	Literary 	63
36114418	Literary 	60.1
36114424	Literary 	79.9
36114428	Literary 	63.4
36114431	Literary 	58.4
36114434	Literary 	56.9
36114435	Literary 	66.9
36114439	Literary 	77.3
36114440	Literary 	78.7
36114441	Literary 	84
36114442	Literary 	61.7
36114444	Literary 	62.3
36114445	Literary 	74.6
36114449	Literary 	64.7
36114450	Literary 	54
36114451	Literary 	55.3
36114457	Literary 	53.7
36114459	Literary 	91.4
36114460	Literary 	72.9
36114465	Literary 	71.7
36114466	Literary 	65.4
36114467	Literary 	69.7
36114468	Literary 	65.6
36114475	Literary 	66
36114479	Literary 	70.7
36114482	Literary 	57.9
36114483	Literary 	56.7
36114486	Literary 	74.1
36114487	Literary 	58.9
36114488	Literary 	75.7
36114493	Literary 	66.1
36114494	Literary 	67.7
36114496	Literary 	66.3
36114498	Literary 	74.3
36114499	Literary 	60.7
36114503	Literary 	86.1
36114504	Literary 	66.6
36114505	Literary 	76
36114507	Literary 	76.9
36114508	Literary 	78.3
36114509	Literary 	60.6
36114514	Literary 	61.9
36114515	Literary 	74.4
36114517	Literary 	64.9
36114525	Literary 	64.9
36114526	Literary 	79.7
36114531	Literary 	90.6
36114532	Literary 	73.6
36114533	Literary 	77.3
36114534	Literary 	63.3
36114536	Literary 	72.6
36114539	Literary 	60.4
36114540	Literary 	83.4
36114542	Literary 	61.3
36114543	Literary 	86.9
36114544	Literary 	59.3
36114549	Literary 	68.3
36114551	Literary 	64.9
36114552	Literary 	78.4
36114557	Literary 	60.9
36114563	Literary 	73.6
36114568	Literary 	71.4
36114569	Literary 	75
36114571	Literary 	66.3
36114572	Literary 	78
36114575	Literary 	55.4
36114577	Literary 	81
36114578	Literary 	72.7
36114583	Literary 	60.3
36114586	Literary 	65.9
36114588	Literary 	63
36114590	Literary 	56.7
36114591	Literary 	67
36114592	Literary 	83.1
36114593	Literary 	70
36114596	Literary 	56.3
36114598	Literary 	61.4
36114600	Literary 	68.3
36114601	Literary 	80.4
36114602	Literary 	63.1
36114605	Literary 	92.6
36114606	Literary 	68.7
36114608	Literary 	76.3
36114610	Literary 	60.6
36114611	Literary 	51
36114622	Literary 	68.6
36114623	Literary 	67.9
36114624	Literary 	62.1
36114627	Literary 	51.6
36114630	Literary 	64.7
36114631	Literary 	61
36114636	Literary 	66.7
36114639	Literary 	61.3
36114640	Literary 	58.6
36114641	Literary 	74.7
36114642	Literary 	52.4
36114643	Literary 	60.1
36114644	Literary 	62.9
36114645	Literary 	61.3
36114646	Literary 	59.3
36114649	Literary 	79
36114650	Literary 	70.3
36114652	Literary 	57
36114657	Literary 	67.7
36114661	Literary 	54
36114665	Literary 	67.3
36114668	Literary 	78.4
36114674	Literary 	67.4
36114677	Literary 	78.1
36114678	Literary 	61.7
36114684	Literary 	69
36114685	Literary 	68.4
36114690	Literary 	57
36114691	Literary 	72.1
36114694	Literary 	67.9
36114698	Literary 	83
36114701	Literary 	70.4
36114702	Literary 	63.4
36114706	Literary 	63
36114707	Literary 	77.7
36114708	Literary 	63.1
36114711	Literary 	62.9
36114715	Literary 	83.3
36114721	Literary 	57.4
36114726	Literary 	66
36114729	Literary 	66.7
36114731	Literary 	73
36114732	Literary 	75.4
36114733	Literary 	59.4
36114735	Literary 	58.9
36114737	Literary 	72.9
36114739	Literary 	82.9
36114741	Literary 	88.7
36114743	Literary 	77
36114745	Literary 	59.6
36114746	Literary 	59.3
36114747	Literary 	58
36114750	Literary 	60.7
36114751	Literary 	72
36114753	Literary 	62
36114755	Literary 	73.3
36114757	Literary 	71.1
36114758	Literary 	66.3
36114763	Literary 	80.3
36114769	Literary 	73.4
36114772	Literary 	64.7
36114773	Literary 	60.7
36114776	Literary 	57.3
36114782	Literary 	52.6
36114786	Literary 	85.7
36114790	Literary 	63.1
36114791	Literary 	75.4
36114792	Literary 	77.3
36114794	Literary 	69
36114797	Literary 	70.7
36114798	Literary 	72.3
36114800	Literary 	79
36114802	Literary 	67.6
36114803	Literary 	62.3
36114807	Literary 	63.9
36114808	Literary 	82.1
36114810	Literary 	75
36114811	Literary 	57
36114813	Literary 	69.9
36114815	Literary 	60.1
36114817	Literary 	59.4
36114818	Literary 	79.6
36114822	Literary 	73.7
36114824	Literary 	83.4
36114825	Literary 	56.1
36114827	Literary 	97
36114830	Literary 	65.6
36114832	Literary 	51.6
36114835	Literary 	63.7
36114836	Literary 	67.3
36114840	Literary 	77.1
36114841	Literary 	67.9
36114843	Literary 	63.3
36114845	Literary 	62.7
36114846	Literary 	89.3
36114849	Literary 	62.7
36114850	Literary 	55.7
36114853	Literary 	73.7
36114855	Literary 	81.3
36114858	Literary 	59.1
36114860	Literary 	54.9
36114872	Literary 	90.3
36114874	Literary 	77.3
36114877	Literary 	58.7
36114878	Literary 	59.4
36114879	Literary 	81.9
36114881	Literary 	67
36114883	Literary 	56.6
36114884	Literary 	52.9
36114886	Literary 	77.3
36114887	Literary 	83.6
36114888	Literary 	62.4
36114890	Literary 	82.9
36114894	Literary 	64.3
36114896	Literary 	75.9
36114897	Literary 	71.7
36114900	Literary 	73.3
36114902	Literary 	65
36114903	Literary 	70
36114905	Literary 	67.7
36114907	Literary 	67.1
36114909	Literary 	74.7
36114910	Literary 	73.1
36114915	Literary 	75.9
36114916	Literary 	77.9
36114919	Literary 	76
36114920	Literary 	52.1
36114926	Literary 	77
36114927	Literary 	72.4
36114928	Literary 	57.7
36114929	Literary 	73.3
36114931	Literary 	72.1
36114932	Literary 	64.4
36114939	Literary 	77
36114941	Literary 	68.9
36114942	Literary 	57.4
36114948	Literary 	60.4
36114949	Literary 	61.9
36114950	Literary 	64.1
36114953	Literary 	68.9
36114956	Literary 	74.3
36114960	Literary 	76.7
36114966	Literary 	65.4
36114969	Literary 	64.1
36114970	Literary 	67.3
36114972	Literary 	66.6
36114974	Literary 	75
36114976	Literary 	55.4
36114983	Literary 	68.4
36114984	Literary 	65.7
36114985	Literary 	77.1
36114990	Literary 	76.3
36114995	Literary 	62.6
36114998	Literary 	66.9
36115000	Literary 	86.3
36115004	Literary 	62.9
36115011	Literary 	78
36115012	Literary 	74.7
36115015	Literary 	65.3
36115017	Literary 	67.4
36115018	Literary 	85
36115019	Literary 	76.1
36115020	Literary 	72.7
36115024	Literary 	57.1
36115025	Literary 	64.9
36115027	Literary 	63
36115032	Literary 	73.6
36115034	Literary 	60.4
36115038	Literary 	60
36115040	Literary 	63.7
36115042	Literary 	69.4
36115045	Literary 	83.7
36115048	Literary 	80.3
36115052	Literary 	58.7
36115056	Literary 	74.1
36115058	Literary 	61.7
36115059	Literary 	82.9
36115061	Literary 	60.9
36115066	Literary 	52.9
36115067	Literary 	78.1
36115070	Literary 	77.3
36115073	Literary 	65.7
36115075	Literary 	82.3
36115078	Literary 	62.9
36115079	Literary 	90.7
36115081	Literary 	75
36115083	Literary 	73.9
36115084	Literary 	56.9
36115087	Literary 	69.9
36115090	Literary 	54.3
36115091	Literary 	65.3
36115092	Literary 	63.1
36115095	Literary 	67.9
36115097	Literary 	73
36115098	Literary 	80
36115099	Literary 	77.7
36115100	Literary 	78.4
36115101	Literary 	75.1
36115106	Literary 	74.6
36115114	Literary 	68.9
36115116	Literary 	62
36115117	Literary 	73.3
36115120	Literary 	64.4
36115121	Literary 	76.7
36115123	Literary 	58
36115124	Literary 	61.6
36115130	Literary 	70.4
36115134	Literary 	61.3
36115136	Literary 	56.9
36115139	Literary 	63.7
36115142	Literary 	68.1
36115145	Literary 	57.7
36115146	Literary 	68.6
36115151	Literary 	59.1
36115154	Literary 	73.4
36115155	Literary 	75.9
36115156	Literary 	71.4
36115157	Literary 	55.7
36115160	Literary 	61
36115161	Literary 	67.7
36115162	Literary 	72.1
36115163	Literary 	68.4
36115164	Literary 	66.1
36115165	Literary 	82.4
36115166	Literary 	71.1
36115167	Literary 	87.1
36115168	Literary 	68.9
36115169	Literary 	72.3
36115170	Literary 	81.3
36115171	Literary 	77.1
36115172	Literary 	84.3
36115173	Literary 	74.6
36115174	Literary 	80.6
36115175	Literary 	74.4
36115176	Literary 	77.6
36115177	Literary 	68
36115178	Literary 	70
36115179	Literary 	84
36115180	Literary 	73
36115181	Literary 	71.1
36115182	Literary 	72.3
36115183	Literary 	88.3
36115184	Literary 	73.6
36115185	Literary 	73.1
36115186	Literary 	81
36115187	Literary 	67
36115189	Literary 	67.4
36115190	Literary 	61.9
36115193	Literary 	54.6
36115195	Literary 	72.1
36115197	Literary 	54.1
36115199	Literary 	54.3
36115200	Literary 	61.6
36115202	Literary 	65.6
36115203	Literary 	54.6
36115204	Literary 	68.7
36115206	Literary 	71.4
36115207	Literary 	73.7
36115209	Literary 	61.9
36115210	Literary 	79.7
36115212	Literary 	75.4
36115214	Literary 	66.1
36115216	Literary 	72.1
36115217	Literary 	68.6
36115219	Literary 	59.7
36115220	Literary 	74.3
36115221	Literary 	65.6
36115223	Literary 	62.3
36115228	Literary 	57.1
36115502	Literary 	61.7
36115507	Literary 	63
36115509	Literary 	62
36115515	Literary 	57.7
36115518	Literary 	64
36115527	Literary 	72.4
36115529	Literary 	58.4
36115536	Literary 	59.3
36115553	Literary 	63.4
36115572	Literary 	57.9
36115574	Literary 	72.6
36115600	Literary 	59.6
36115601	Literary 	55.4
36115622	Literary 	56.3
36115640	Literary 	62.4
36115664	Literary 	64
36115683	Literary 	73.1
36115688	Literary 	55.6
36115698	Literary 	61.9
36115713	Literary 	71.3
36115715	Literary 	63
36115719	Literary 	62.1
36116001	Literary 	77.1
36116002	Literary 	69
36116003	Literary 	61.3
36116004	Literary 	88.6
36116006	Literary 	93.1
36116008	Literary 	92.1
36116010	Literary 	67.6
36116011	Literary 	85.4
36116014	Literary 	75.9
36116015	Literary 	80
36116016	Literary 	67.4
36116019	Literary 	80.7
36116021	Literary 	76.3
36116022	Literary 	91.6
36116024	Literary 	57.4
36116025	Literary 	84.6
36116026	Literary 	89.6
36116027	Literary 	87.1
36116029	Literary 	90.3
36116030	Literary 	77.4
36116031	Literary 	90.3
36116032	Literary 	80
36116033	Literary 	80.9
36116036	Literary 	75.3
36116037	Literary 	94.1
36116038	Literary 	57.1
36116042	Literary 	75.3
36116043	Literary 	76
36116045	Literary 	81.9
36116046	Literary 	93.1
36116048	Literary 	62.7
36116049	Literary 	77.1
36116050	Literary 	93.4
36116052	Literary 	58.1
36116053	Literary 	76.9
36116054	Literary 	69.3
36116055	Literary 	88.1
36116058	Literary 	75.4
36116060	Literary 	70
36116061	Literary 	78.3
36116063	Literary 	76.7
36116064	Literary 	84
36116066	Literary 	72.1
36116067	Literary 	61
36116068	Literary 	80.6
36116069	Literary 	81.1
36116070	Literary 	82.1
36116071	Literary 	76.9
36116073	Literary 	72.6
36116074	Literary 	69.7
36116076	Literary 	91.1
36116077	Literary 	80.7
36116078	Literary 	68.1
36116082	Literary 	83.4
36116083	Literary 	58
36116084	Literary 	81
36116086	Literary 	81.7
36116087	Literary 	82.6
36116089	Literary 	80.9
36116091	Literary 	86.9
36116093	Literary 	75.7
36116094	Literary 	61
36116097	Literary 	83
36116098	Literary 	72.1
36116101	Literary 	61.6
36116102	Literary 	91.6
36116103	Literary 	87.6
36116104	Literary 	61.6
36116105	Literary 	87.1
36116106	Literary 	70.3
36116107	Literary 	74.9
36116109	Literary 	72.7
36116111	Literary 	74.1
36116112	Literary 	75.4
36116117	Literary 	72.1
36116118	Literary 	81.7
36116119	Literary 	90
36116122	Literary 	94.6
36116123	Literary 	68.7
36116124	Literary 	77.7
36116125	Literary 	67.6
36116126	Literary 	74.3
36116127	Literary 	68.4
36116128	Literary 	89.3
36116129	Literary 	94.1
36116131	Literary 	89.7
36116132	Literary 	82.9
36116133	Literary 	67.3
36116136	Literary 	80.4
36116138	Literary 	53.3
36116140	Literary 	96
36116141	Literary 	78.6
36116142	Literary 	89.3
36116143	Literary 	59.3
36116144	Literary 	94.9
36116147	Literary 	79.4
36116149	Literary 	90.9
36116150	Literary 	68.4
36116152	Literary 	63.3
36116153	Literary 	66.6
36116156	Literary 	85.7
36116157	Literary 	62.3
36116160	Literary 	81.7
36116161	Literary 	70.1
36116162	Literary 	72.6
36116164	Literary 	67.7
36116165	Literary 	63.1
36116167	Literary 	74.7
36116168	Literary 	90.3
36116169	Literary 	62.3
36116170	Literary 	87.3
36116171	Literary 	89.7
36116173	Literary 	96
36116175	Literary 	72.7
36116178	Literary 	86.6
36116181	Literary 	66.1
36116182	Literary 	86.4
36116183	Literary 	87
36116184	Literary 	81.3
36116185	Literary 	80.7
36116186	Literary 	76.7
36116187	Literary 	91.6
36116188	Literary 	92.1
36116189	Literary 	94.4
36116191	Literary 	70.9
36116195	Literary 	85.1
36116196	Literary 	71
36116198	Literary 	68.9
36116199	Literary 	85
36116204	Literary 	82.4
36116206	Literary 	92.1
36116209	Literary 	54.7
36116210	Literary 	66.1
36116211	Literary 	68.7
36116212	Literary 	95.6
36116214	Literary 	75
36116217	Literary 	70.1
36116218	Literary 	58.6
36116220	Literary 	79.9
36116221	Literary 	69.6
36116222	Literary 	59.4
36116223	Literary 	69.7
36116224	Literary 	63
36116225	Literary 	92.3
36116226	Literary 	91
36116227	Literary 	86.6
36116230	Literary 	81.3
36116232	Literary 	75.4
36116233	Literary 	55.1
36116235	Literary 	65.6
36116238	Literary 	81.7
36116239	Literary 	57.7
36116242	Literary 	85.1
36116243	Literary 	72.4
36116244	Literary 	82.7
36116249	Literary 	85.6
36116251	Literary 	74.3
36116252	Literary 	74.4
36116253	Literary 	67.9
36116258	Literary 	77.4
36116260	Literary 	78
36116262	Literary 	73.7
36116264	Literary 	75.6
36116265	Literary 	85.3
36116266	Literary 	64.4
36116268	Literary 	68.9
36116270	Literary 	80.4
36116273	Literary 	78.9
36116276	Literary 	90.7
36116277	Literary 	80.7
36116279	Literary 	96
36116280	Literary 	94.1
36116282	Literary 	62.9
36116283	Literary 	63.1
36116286	Literary 	71.6
36116287	Literary 	64.4
36116288	Literary 	93.4
36116289	Literary 	69
36116290	Literary 	81.3
36116293	Literary 	76.9
36116294	Literary 	78.7
36116296	Literary 	85.7
36116297	Literary 	73
36116299	Literary 	76.7
36116300	Literary 	67.4
36116301	Literary 	74
36116302	Literary 	89.7
36116303	Literary 	94
36116304	Literary 	82.1
36116306	Literary 	90.4
36116307	Literary 	68.4
36116308	Literary 	74.4
36116309	Literary 	73.1
36116311	Literary 	73.7
36116312	Literary 	94.9
36116313	Literary 	71.3
36116314	Literary 	64.7
36116316	Literary 	68.9
36116320	Literary 	54.6
36116321	Literary 	89.4
36116322	Literary 	77.1
36116324	Literary 	76
36116325	Literary 	79.4
36116326	Literary 	86.4
36116327	Literary 	70.6
36116330	Literary 	91
36116334	Literary 	71.4
36116337	Literary 	77.6
36116338	Literary 	61.9
36116339	Literary 	88.7
36116340	Literary 	66.7
36116341	Literary 	82.7
36116343	Literary 	81.9
36116344	Literary 	64.1
36116345	Literary 	92.9
36116346	Literary 	89.7
36116348	Literary 	76.1
36116350	Literary 	91.7
36116351	Literary 	65.6
36116352	Literary 	77.7
36116354	Literary 	86
36116356	Literary 	81.4
36116358	Literary 	58.6
36116360	Literary 	65.7
36116361	Literary 	69.1
36116364	Literary 	91.4
36116366	Literary 	95.9
36116369	Literary 	69
36116370	Literary 	65.7
36116371	Literary 	60.7
36116373	Literary 	79.6
36116374	Literary 	56.1
36116375	Literary 	94.3
36116376	Literary 	70
36116377	Literary 	69.3
36116378	Literary 	64.4
36116379	Literary 	91.1
36116381	Literary 	69.6
36116382	Literary 	55.7
36116385	Literary 	65.7
36116386	Literary 	86.4
36116387	Literary 	62.4
36116391	Literary 	84.6
36116393	Literary 	75.4
36116395	Literary 	58.6
36116397	Literary 	72.1
36116399	Literary 	65.7
36116400	Literary 	74.7
36116401	Literary 	73.4
36116402	Literary 	88
36116403	Literary 	91.9
36116404	Literary 	73.1
36116405	Literary 	64.7
36116407	Literary 	66.1
36116409	Literary 	74.3
36116410	Literary 	55.7
36116411	Literary 	64.1
36116413	Literary 	84.3
36116414	Literary 	75.4
