31102105    Literary 	68.9
31103051	Literary 	66.6
31103054	Literary 	72.4
31103056	Literary 	57
31103057	Literary 	64.6
31103058	Literary 	59.1
31103061	Literary 	58.7
31103063	Literary 	59
31103064	Literary 	60.9
31103066	Literary 	58.1
31103074	Literary 	74.3
31103075	Literary 	74.6
31103077	Literary 	58.6
31103080	Literary 	81.6
31103082	Literary 	72.1
31103083	Literary 	72.1
31103085	Literary 	80.1
31103086	Literary 	56
31103089	Literary 	53
31103095	Literary 	73.9
31103097	Literary 	79.1
31103099	Literary 	65
31103103	Literary 	81.7
31103105	Literary 	56.4
31103111	Literary 	79.6
31103112	Literary 	74.1
31103114	Literary 	67.9
31103117	Literary 	70.1
31103119	Literary 	61.6
31103121	Literary 	74
31103124	Literary 	68
31103126	Literary 	63.1
31103127	Literary 	74
31103129	Literary 	85.1
31103134	Literary 	65.6
31103135	Literary 	72.4
31103138	Literary 	64
31103141	Literary 	81.3
31103143	Literary 	83.4
31103145	Literary 	57.9
31103146	Literary 	75.7
31103147	Literary 	80.9
31103149	Literary 	60
31103152	Literary 	90.1
31103153	Literary 	72
31103154	Literary 	59.1
31103156	Literary 	70
31103159	Literary 	79.4
31103160	Literary 	56.3
31103162	Literary 	75.4
31103165	Literary 	65.1
31103166	Literary 	63.6
31103169	Literary 	63.4
31103171	Literary 	69.4
31103172	Literary 	66.7
31103175	Literary 	81.7
31103177	Literary 	58.4
31103179	Literary 	59.7
31103184	Literary 	67.7
31103186	Literary 	84.4
31103189	Literary 	56.1
31103190	Literary 	73.6
31103191	Literary 	54.6
31103192	Literary 	85
31103194	Literary 	55.1
31103197	Literary 	79.3
31103199	Literary 	70.9
31103200	Literary 	61.3
31103202	Literary 	88.3
31103203	Literary 	66.6
31103204	Literary 	62.1
31103206	Literary 	68
31103209	Literary 	57.4
31103213	Literary 	74.3
31103215	Literary 	58.9
31103216	Literary 	63.7
31103218	Literary 	87.4
31103220	Literary 	63.1
31103222	Literary 	72.6
31103223	Literary 	78.6
31103224	Literary 	66.7
31103225	Literary 	75
31103227	Literary 	63.9
31103231	Literary 	53.3
31103232	Literary 	75.3
31103233	Literary 	75.4
31103234	Literary 	75.9
31103235	Literary 	58.1
31103238	Literary 	68
31103241	Literary 	53.6
31103244	Literary 	74.3
31103248	Literary 	67.3
31103251	Literary 	84.6
31103254	Literary 	66.9
31103255	Literary 	71.6
31103259	Literary 	63.3
31103264	Literary 	69.3
31103266	Literary 	63.7
31103267	Literary 	75.1
31103268	Literary 	72.6
31103271	Literary 	76.6
31103274	Literary 	68.4
31103277	Literary 	81.7
31103282	Literary 	84.4
31103284	Literary 	82.3
31103288	Literary 	74.3
31103289	Literary 	76.1
31103290	Literary 	71.3
31103292	Literary 	76.7
31103294	Literary 	74.9
31103296	Literary 	71.1
31103298	Literary 	80.6
31103303	Literary 	83.4
31103304	Literary 	73
31103305	Literary 	62.4
31103306	Literary 	61.6
31103307	Literary 	80.3
31103308	Literary 	78.9
31103313	Literary 	66.7
31103314	Literary 	76.4
31103315	Literary 	80.3
31103320	Literary 	60
31103322	Literary 	88.3
31103323	Literary 	78.4
31103324	Literary 	65.1
31103325	Literary 	60.7
31103330	Literary 	71.4
31103332	Literary 	52.6
31103333	Literary 	62.4
31103335	Literary 	75.4
31103338	Literary 	54.7
31103343	Literary 	77.7
31103349	Literary 	87
31103350	Literary 	54.7
31103352	Literary 	63.3
31103354	Literary 	62.4
31103356	Literary 	75.3
31103359	Literary 	66.7
31103360	Literary 	80
31103361	Literary 	60.7
31103362	Literary 	77.6
31103363	Literary 	55.7
31103365	Literary 	72.7
31103366	Literary 	79.9
31103370	Literary 	75.1
31103371	Literary 	68.1
31103374	Literary 	64.1
31103375	Literary 	77
31103378	Literary 	81.6
31103381	Literary 	75.9
31103388	Literary 	82.3
31103391	Literary 	73.1
31103392	Literary 	76.6
31103393	Literary 	80.1
31103397	Literary 	67.4
31103400	Literary 	75.1
31103401	Literary 	52.7
31103402	Literary 	67.4
31103403	Literary 	55.9
31103405	Literary 	71.7
31103410	Literary 	61.6
31103411	Literary 	71.9
31103415	Literary 	66.3
31103417	Literary 	74.4
31103421	Literary 	70.1
31103423	Literary 	81.7
31103427	Literary 	78.3
31103428	Literary 	63.7
31103429	Literary 	74
31103430	Literary 	85.3
31103431	Literary 	69.9
31103432	Literary 	70.4
31103433	Literary 	55.4
31103434	Literary 	58.1
31103435	Literary 	55.3
31103436	Literary 	73.6
31103437	Literary 	80.1
31103439	Literary 	78.1
31103441	Literary 	86.9
31103442	Literary 	57.4
31103444	Literary 	61.9
31103445	Literary 	83.4
31103447	Literary 	70.4
31103449	Literary 	59.4
31103450	Literary 	69.6
31103451	Literary 	65.7
31103458	Literary 	74.7
31103459	Literary 	73.1
31103462	Literary 	68.4
31103464	Literary 	59.6
31103466	Literary 	65.4
31103467	Literary 	72.4
31103468	Literary 	60.9
31103470	Literary 	61.7
31103475	Literary 	56.6
31103479	Literary 	76.7
31104103	Literary 	69.7
31104105	Literary 	65.9
31104110	Literary 	56.7
31104111	Literary 	58.3
31104128	Literary 	74.7
31104141	Literary 	73.3
31104147	Literary 	61.7
31104152	Literary 	63.4
31104172	Literary 	52.1
31104177	Literary 	75.7
31104180	Literary 	60.1
31104182	Literary 	69
31104186	Literary 	65.7
31104187	Literary 	59.7
31104194	Literary 	55.6
31104218	Literary 	59
31104219	Literary 	67.1
31104232	Literary 	78.7
31104237	Literary 	59.6
31104241	Literary 	59.9
31104244	Literary 	70.1
31104247	Literary 	67.6
31104260	Literary 	66.7
31104338	Literary 	60.3
31104356	Literary 	61.3
31104371	Literary 	84.4
31105102	Literary 	74.4
31105103	Literary 	87.1
31105104	Literary 	65.4
31105105	Literary 	72.9
31105106	Literary 	69.3
31105108	Literary 	77.7
31105109	Literary 	58.7
31105110	Literary 	70
31105111	Literary 	65.4
31105113	Literary 	95.7
31105114	Literary 	79.6
31105115	Literary 	79.6
31105116	Literary 	74.1
31105117	Literary 	72.6
31105119	Literary 	94.3
31105120	Literary 	65.9
31105121	Literary 	77.6
31105122	Literary 	59.6
31105123	Literary 	71.1
31105124	Literary 	66.9
31105125	Literary 	63.9
31105127	Literary 	89.3
31105128	Literary 	82
31105129	Literary 	74.4
31105130	Literary 	55.9
31105132	Literary 	80.9
31105134	Literary 	61.6
31105135	Literary 	83.4
31105137	Literary 	69.3
31105138	Literary 	82.7
31105139	Literary 	96
31105140	Literary 	81.1
31105142	Literary 	64.7
31105144	Literary 	97.1
31105146	Literary 	94.7
31105147	Literary 	89.4
31105148	Literary 	60.3
31105149	Literary 	65.3
31105151	Literary 	60.7
31105152	Literary 	61.6
31105153	Literary 	80.7
31105154	Literary 	81.1
31105155	Literary 	69.9
31105159	Literary 	70.3
31105161	Literary 	98.1
31105162	Literary 	53
31105163	Literary 	78
31105165	Literary 	84.6
31105166	Literary 	77.9
31105167	Literary 	79.1
31105169	Literary 	87.4
31105170	Literary 	60.7
31105172	Literary 	76.3
31105178	Literary 	75.1
31105180	Literary 	61.7
31105182	Literary 	69
31105183	Literary 	95.4
31105184	Literary 	91
31105185	Literary 	78.4
